sale_date,year,quarter,month,weekday_name,branch,city,product_line,customer_segment,payment_method,sales_count,total_quantity,revenue,gross_income,avg_check,avg_rating
2019-01-01,2019,1,1,Tuesday  ,A,Yangon,Electronic accessories,Member,Credit card,1,10,779.3100,37.1100,779.3100000000000000,4.3000000000000000
2019-01-01,2019,1,1,Tuesday  ,A,Yangon,Fashion accessories,Normal,Cash,1,9,621.2430,29.5830,621.2430000000000000,7.7000000000000000
2019-01-01,2019,1,1,Tuesday  ,A,Yangon,Home and lifestyle,Member,Cash,1,8,399.7560,19.0360,399.7560000000000000,5.7000000000000000
2019-01-01,2019,1,1,Tuesday  ,A,Yangon,Sports and travel,Member,Ewallet,1,4,113.5680,5.4080,113.5680000000000000,6.9000000000000000
2019-01-01,2019,1,1,Tuesday  ,A,Yangon,Sports and travel,Normal,Credit card,1,6,457.4430,21.7830,457.4430000000000000,6.9000000000000000
2019-01-01,2019,1,1,Tuesday  ,B,Mandalay,Electronic accessories,Normal,Cash,1,6,470.6730,22.4130,470.6730000000000000,6.7000000000000000
2019-01-01,2019,1,1,Tuesday  ,B,Mandalay,Food and beverages,Member,Credit card,1,10,888.6150,42.3150,888.6150000000000000,9.0000000000000000
2019-01-01,2019,1,1,Tuesday  ,B,Mandalay,Food and beverages,Normal,Cash,1,8,177.4080,8.4480,177.4080000000000000,6.3000000000000000
2019-01-01,2019,1,1,Tuesday  ,C,Naypyitaw,Electronic accessories,Normal,Cash,1,2,132.7620,6.3220,132.7620000000000000,8.5000000000000000
2019-01-01,2019,1,1,Tuesday  ,C,Naypyitaw,Health and beauty,Normal,Cash,1,2,132.0270,6.2870,132.0270000000000000,5.0000000000000000
2019-01-01,2019,1,1,Tuesday  ,C,Naypyitaw,Sports and travel,Member,Credit card,1,10,388.2900,18.4900,388.2900000000000000,7.0000000000000000
2019-01-01,2019,1,1,Tuesday  ,C,Naypyitaw,Sports and travel,Member,Ewallet,1,6,184.0860,8.7660,184.0860000000000000,5.0000000000000000
2019-01-02,2019,1,1,Wednesday,A,Yangon,Food and beverages,Member,Ewallet,1,6,262.4580,12.4980,262.4580000000000000,5.6000000000000000
2019-01-02,2019,1,1,Wednesday,A,Yangon,Sports and travel,Normal,Cash,1,1,44.5935,2.1235,44.5935000000000000,5.7000000000000000
2019-01-02,2019,1,1,Wednesday,B,Mandalay,Electronic accessories,Normal,Cash,1,6,138.6630,6.6030,138.6630000000000000,7.6000000000000000
2019-01-02,2019,1,1,Wednesday,B,Mandalay,Fashion accessories,Member,Cash,1,9,383.7645,18.2745,383.7645000000000000,7.0000000000000000
2019-01-02,2019,1,1,Wednesday,B,Mandalay,Health and beauty,Normal,Cash,1,10,359.2050,17.1050,359.2050000000000000,5.1000000000000000
2019-01-02,2019,1,1,Wednesday,B,Mandalay,Sports and travel,Normal,Credit card,1,6,281.1690,13.3890,281.1690000000000000,5.1000000000000000
2019-01-02,2019,1,1,Wednesday,C,Naypyitaw,Fashion accessories,Normal,Credit card,1,2,209.6220,9.9820,209.6220000000000000,6.7000000000000000
2019-01-02,2019,1,1,Wednesday,C,Naypyitaw,Sports and travel,Member,Credit card,1,8,266.0280,12.6680,266.0280000000000000,5.6000000000000000
